"","Home","Away","Bet","Outcome","Line","Matchup"
"198","DAL Mavericks","LA Lakers","Race to 20 Points - 2nd Quarter","DAL Mavericks","-125","DAL Mavericks - LA Lakers"
"199","DAL Mavericks","LA Lakers","Race to 15 Points - 1st Quarter","LA Lakers","+105","DAL Mavericks - LA Lakers"
"200","DAL Mavericks","LA Lakers","Race to 15 Points - 1st Quarter","Neither","+10000","DAL Mavericks - LA Lakers"
"201","DAL Mavericks","LA Lakers","Race to 15 Points - 1st Quarter","DAL Mavericks","-130","DAL Mavericks - LA Lakers"
"202","DAL Mavericks","LA Lakers","Race to 10 Points - 3rd Quarter","LA Lakers","+100","DAL Mavericks - LA Lakers"
"203","DAL Mavericks","LA Lakers","Race to 10 Points - 3rd Quarter","DAL Mavericks","-130","DAL Mavericks - LA Lakers"
"204","DAL Mavericks","LA Lakers","Race to 5 Points - 1st Quarter","LA Lakers","+100","DAL Mavericks - LA Lakers"
"205","DAL Mavericks","LA Lakers","Race to 5 Points - 1st Quarter","DAL Mavericks","-125","DAL Mavericks - LA Lakers"
"206","DAL Mavericks","LA Lakers","Race to 5 Points - 2nd Quarter","LA Lakers","-105","DAL Mavericks - LA Lakers"
"207","DAL Mavericks","LA Lakers","Race to 5 Points - 2nd Quarter","DAL Mavericks","-120","DAL Mavericks - LA Lakers"
"208","DAL Mavericks","LA Lakers","Race to 15 Points - 2nd Quarter","LA Lakers","+100","DAL Mavericks - LA Lakers"
"209","DAL Mavericks","LA Lakers","Race to 15 Points - 2nd Quarter","Neither","+10000","DAL Mavericks - LA Lakers"
"210","DAL Mavericks","LA Lakers","Race to 15 Points - 2nd Quarter","DAL Mavericks","-130","DAL Mavericks - LA Lakers"
"211","DAL Mavericks","LA Lakers","Race to 30 Points - 4th Quarter","LA Lakers","+275","DAL Mavericks - LA Lakers"
"212","DAL Mavericks","LA Lakers","Race to 30 Points - 4th Quarter","Neither","-105","DAL Mavericks - LA Lakers"
"213","DAL Mavericks","LA Lakers","Race to 30 Points - 4th Quarter","DAL Mavericks","+230","DAL Mavericks - LA Lakers"
"214","DAL Mavericks","LA Lakers","Race to 10 Points - 2nd Quarter","LA Lakers","-105","DAL Mavericks - LA Lakers"
"215","DAL Mavericks","LA Lakers","Race to 10 Points - 2nd Quarter","DAL Mavericks","-120","DAL Mavericks - LA Lakers"
"216","DAL Mavericks","LA Lakers","Race to 15 Points - 3rd Quarter","LA Lakers","+105","DAL Mavericks - LA Lakers"
"217","DAL Mavericks","LA Lakers","Race to 15 Points - 3rd Quarter","Neither","+10000","DAL Mavericks - LA Lakers"
"218","DAL Mavericks","LA Lakers","Race to 15 Points - 3rd Quarter","DAL Mavericks","-135","DAL Mavericks - LA Lakers"
"219","DAL Mavericks","LA Lakers","Race to 10 Points - 1st Quarter","LA Lakers","+100","DAL Mavericks - LA Lakers"
"220","DAL Mavericks","LA Lakers","Race to 10 Points - 1st Quarter","DAL Mavericks","-125","DAL Mavericks - LA Lakers"
"221","DAL Mavericks","LA Lakers","Race to 5 Points - 4th Quarter","LA Lakers","-105","DAL Mavericks - LA Lakers"
